STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total
Andhra Pradesh,2001,Bankruptcy or Sudden change in Economic,0,40,48,42,9,139,2,10,7,5,0,24,163
Andhra Pradesh,2001,Suspected/Illicit Relation,0,10,12,7,0,29,2,21,16,0,0,39,68
Andhra Pradesh,2001,Cancellation/Non-Settlement of Marriage,0,20,4,1,0,25,7,40,1,1,0,49,74
Andhra Pradesh,2001,Not having Children(Barrenness/Impotency,0,11,6,0,0,17,0,31,4,6,0,41,58
Andhra Pradesh,2001,Illness (Aids/STD),1,39,22,30,4,96,4,68,30,10,5,117,213
Andhra Pradesh,2001,Cancer,0,13,17,17,1,48,0,3,2,8,1,14,62
Andhra Pradesh,2001,Paralysis,0,6,5,21,12,44,0,9,10,9,7,35,79
Andhra Pradesh,2001,Insanity/Mental Illness,1,110,171,53,33,368,2,112,82,52,25,273,641
Andhra Pradesh,2001,Other Prolonged Illness,47,432,576,568,131,1754,48,342,328,273,83,1074,2828
Andhra Pradesh,2001,Death of Dear Person,0,5,4,4,1,14,0,36,27,2,2,67,81
Andhra Pradesh,2001,Dowry Dispute,0,1,0,0,0,1,0,159,41,1,0,201,202
Andhra Pradesh,2001,Divorce,0,1,2,0,0,3,0,9,3,0,0,12,15
Andhra Pradesh,2001,Drug Abuse/Addiction,0,4,8,10,1,23,1,0,1,0,0,2,25
Andhra Pradesh,2001,Failure in Examination,13,84,0,0,0,97,6,44,0,0,0,50,147
Andhra Pradesh,2001,Fall in Social Reputation,0,18,18,17,7,60,0,23,14,11,1,49,109
Andhra Pradesh,2001,Family Problems,12,492,553,285,42,1384,20,437,315,133,28,933,2317
Andhra Pradesh,2001,Ideological Causes/Hero Worshipping,0,2,1,3,0,6,0,3,1,2,0,6,12
Andhra Pradesh,2001,Illegitimate Pregnancy,0,0,0,0,0,0,0,18,0,0,0,18,18
Andhra Pradesh,2001,Love Affairs,3,84,12,0,0,99,3,65,8,0,0,76,175
Andhra Pradesh,2001,"Physical Abuse (Rape,Incest Etc.)",0,9,3,0,0,12,5,30,8,0,1,44,56
Andhra Pradesh,2001,Poverty,7,110,123,73,27,340,4,39,41,19,3,106,446
Andhra Pradesh,2001,Professional/Career Problem,0,7,22,18,5,52,0,6,1,5,1,13,65
Andhra Pradesh,2001,Property Dispute,0,11,18,19,1,49,0,8,22,13,3,46,95
Andhra Pradesh,2001,Unemployment,0,35,41,6,0,82,3,7,1,2,0,13,95
Andhra Pradesh,2001,Causes Not known,35,234,254,107,47,677,17,155,93,61,15,341,1018
